Location,Message,Name,City,Country
"chengdu, China","In the absence of discovery before you, we have been very lonely. Hope to see you before I die face of the merciful.",Thomas. Hu,chengdu, China
"seeboden, Austria",hey me dears.looking forward to see you.bring some strange fruits with you and i can learn you how to ride a bicycle if gravitation is different on your planet,robin,seeboden, Austria
"brescia, Italy","hi from italy to carlo & laura and
our baby",carlo,brescia, Italy
"Moscow, Russia","Greeting from the Earth!
Earthmen have 5 key senses: sight, ear, touch, smell and taste. It our way to explore the world. And you?",Tulipa,Moscow, Russia
"SAITAMA Pref., Japan",Hi! Nice to meet you! Please visit to earth!! Always waiting for you!,S.AOYAMA,SAITAMA Pref., Japan
"London, United Kingdom","Dear ET

We have been searching for intelligent life on earth and beyond for many years. There's none here, how about your world?",Rowan,London, United Kingdom
"Barnstaple, United Kingdom","Hello aliens
My name is Jake Smith so come and get me HaHa.",Jake Smith,Barnstaple, United Kingdom
"London, United Kingdom",How's the weather out there?,Peter Eaton,London, United Kingdom
"Ipoh, Malaysia",Greetings from Earth!Hope that the earthlings can moved over there when our planet is dead.Peace.,Audrianne Darling,Ipoh, Malaysia
"Aspas, Sweden",As a small human on the earth I really do hope there will be someone listning out there and in the name of life will call back to us. 1+1=2,Goran Hallman,Aspas, Sweden
"London, United Kingdom",Please don't watch our TV before you come to our planet. It's not who we are. We can do so much better. Love is the best in the whole universe. I love you Daisy,Jan,London, United Kingdom
"Monza, Italy","A big hello from StarKnight and all the Italian users of the ""Quelli Che Il Panda"" community. If you'll ever visit Earth come and join us on Internet.",StarKnight,Monza, Italy
"Rome, Italy","My husband and I see the sky frequently, but where are you? Remember we wish meet you! See you soon!",Vstep,Rome, Italy
"Homs, Syria","If you are going to fight with earth, I'll deal with you, I'll be your spy eye her, support me with power & money & we will win the earth
awaiting you",Mor007,Homs, Syria
"istanbul, Turkey","no money,no honey....",gazz,istanbul, Turkey
"Saint-Petersburg, Russia",I strongly believe that people are creatures of aliens!Please give us an opporunity to communicate with you-we`ve got so much to discuss. from Russia with love!,Eugene Zuikov,Saint-Petersburg, Russia
"Piliscsaba, Hungary","E. A.- R.-. T- H....

L.-.. I.. F..-. E.

W.-- E.  W.-- A.- I.. T-
T- H....  E.  F..-. I.. R.-. S... T-
C-.-. O--- N-. T- A.- C-.-. T-",Krisztian Sagi,Piliscsaba, Hungary
"kiew, Ukraine","HELLO! HELP, MY PLANET PERISHES, WE  DESTROY IT!",Drunia,kiew, Ukraine
"Festus, United States",Hello from Earth. We are currently looking for intelligent life to form friendly relations with. An exchange of ideas and cultures will likely benefit us both.,Michael Vincent,Festus, United States
"Hisar, India",OMmmm Ohm Hom Galaxy(*) Sun(0) Earth(.) Love Peace Knowledge. Help us to overcome the fear of alone in space.,Sandeep Soni,Hisar, India
"Nanjing, China","Please remenber our planet, it's name is EARTH!
Are you there, our friends?",Messiaaah,Nanjing, China
"Leeds, United Kingdom",Do you like KFC? We have fried chickens and watermelon here.,Zero One,Leeds, United Kingdom
"Stockholm, Sweden",Do you have animals and music?,Lisen,Stockholm, Sweden
"Budapest, Hungary","The truth is out there? :-) I love you, forever my Becc!!",Lygia,Budapest, Hungary
"São Paulo, Brazil",What do you do with garbage? As you have developed? Your world is peaceful and there is war?,Lucas Miranda,São Paulo, Brazil
"Budapest, Hungary","Is there anybody out there? I hope yep. Life is nice, but the World is not.",Gabor,Budapest, Hungary
"Shanghai, China",Hello from China. I get tons of homework here. Please take these to your planet as reseach materials.,Rickie,Shanghai, China
"Madrid, Spain","Hello from Spain, the most bizarre country in Earth planet. I hope you visit us one day and not destroy our race, but what we deserve. Thank you",Didac,Madrid, Spain
"Fremantle, Australia",G'Day Glieseans. Please bring some of your local wines and delicacies and we will trade. Looking forward to the party. Cheers.,Simon,Fremantle, Australia
"Gaecheon, South Korea","Hellow, my name is kim jin ho. What is your name? What is your hobby? I like computer. I want meet you. Be happy!",Kim Jin Ho,Gaecheon, South Korea
"Stoney Creek, Canada",My name is Sekundes Seretys Kun dala Terra and I await your arrival!,Sekundes Kun,Stoney Creek, Canada
"Trieste, Italy","Hi Aliens, I'm looking for a job and I love travel, please contact me as soon as possible!",roberto,Trieste, Italy
"Odessa, Ukraine","Hello our dear neighbors! We look forward to your visit.
Sincerely Alex Slivinsky 
:)",Alex,Odessa, Ukraine
"Saint-Petersburg, Russia",Greetings! Is it true that every form of life on the Earth is your creation? Waiting for your answer! See ya,Irina,Saint-Petersburg, Russia
"Brest, France","Hi guys!
If you come across our system take time to come on earth to drink beers in a pub.
PS: Send a message before to know if we're free or not.
See U soon",JB,Brest, France
"bangalore, India","hello i am from india in earth, could you ever visit india ?",nithin,bangalore, India
"chennai, India","Friens unite together to exchange technical,scientifical and human values.We in earth are very affectionate to meet you people.Awaiting to meet all of you.",S SUBRAMANIAN,chennai, India
"Belluno, Italy","looking at the stars, sometime you find something...or SomeOne",Kyorg,Belluno, Italy
"Yarraville, Australia","I do hope you are friendly and that you have warp technology so we can meet lots of other folks out there!
Seeya when you get here!",Jessilou & Tones,Yarraville, Australia
"Atlanta, United States","Hello! Earth has many intelligent life forms. Make sure you talk to the dolphins and the orangutans, on your visit. Also watch LOLCats , it is very funny.",Heather,Atlanta, United States
"Sydney, Australia","Hey, hows the chicks over there ;)",Barrack Obama,Sydney, Australia
"blackpool, United Kingdom",Fancy a cup of tea? MARS IS COMING! ₪ ø lll'o.,hannah cartlidge,blackpool, United Kingdom
"Prague, Albania",We humans live 99% of the time living our life and we love 1% of our lifetime.... may be you can teach us better....,Besnik,Prague, Albania
"split, Croatia","if you exist just help us to understand the nature,use our brain for good and save our beautifull planet before bad people destroy it.thank you!kissies",ivana,split, Croatia
"Ventimiglia, Italy","Dear Aliens, I hope you exist, if yes please to come to Earth to teach us about your technologies and lifestyle.",Enrico Serrecchia,Ventimiglia, Italy
"castellammare di stabia, Italy","hello my friends...get to know, save us from this world infamous",Federico,castellammare di stabia, Italy
"Seoul, South Korea","Hello, if anyone's there, come and visit Korea in Earth! But it would be 20 light-years from the day I wrote this letter!",Huyoung,Seoul, South Korea
"deruta, Italy",Hello extrasolar brother. A greeting and Cristian un'abbaccio from the planet earth! As soon as you can come visit us!,cristian,deruta, Italy
"Natal, Brazil","Hello Hello. I don't know why you say good bye and I say hello.

A musician from Brazil.",Mauricio,Natal, Brazil
"Montreal, Canada",Hello there Gliesiens 581D! Please come and visit this planet full of life waiting to meet new species. Ciao! Hope to see you soon!,Dom,Montreal, Canada
"athens, Netherlands","Here is something handy to know: energy = mass * light speed * light speed.we look like :-)--|==| two arms, two legs to stand on,two eyes,a mouth to eat meat",Hubert,athens, Netherlands
"Atlantic County, United States",Please contact us. We have been waiting a long time for verification that we are not alone in this universe !,Chris,Atlantic County, United States
"xalapa, Mexico","hi friends!!!
visit the earth, and visit México !!!

ah And remember to carry souvenirs

Will be expecting by you",jose ma. mtz.,xalapa, Mexico
"Västerås, Sweden",Charlie.B says HELLO from Sweden on planet EARTH,Charlie Bjurhager,Västerås, Sweden
"Msk, Russia",ALL YOUR BASE ARE BELONG TO US!11,sowhat,Msk, Russia
"Astana, Kazakhstan",Hello there! Please come to meet us and see our home planet! We are beautiful and smart creatures!,Berik,Astana, Kazakhstan
"Dimitrovgrad, Bulgaria",HELLO FROM BULGARIA WE ARE WAITING FOR YOU !!!!,Daniel,Dimitrovgrad, Bulgaria
"pittsburg, United States","If you are listening out there, Zach, I love you.  
  Mom",stephanie willis,pittsburg, United States
"Stockholm, Sweden",Greetings friends! I never would have thought you would speak english! That is amazing! What are the odds!,Marcus Sjöström,Stockholm, Sweden
"Manchester, United Kingdom","Hello there! Please come and visit us on Planet Earth, i hope we can all be friends and have a great banquet together with lots of music, laughter and love :)",Tom Gibson,Manchester, United Kingdom
"Austin, Texas, United States",Do not come to Earth.  Human beings are not a mature species yet.  Check back in 2000 years to see if we are still here and ready then.,Mike B.,"Austin, Texas", United States
"Donetsk, Ukraine","Hi! We r a young civilization challenging everything around, making mistakes, achieving results & hoping we r not alone in the Universe.",Alisa,Donetsk, Ukraine
"Paris, France",Hello there!Plz say hi to Superman for me and be careful with the cryptonic,Beez,Paris, France
"Alkmaar, Netherlands",__/)__o/__ Helpz!!,A.Nusbeard,Alkmaar, Netherlands
"woombye Qld, Australia","We're in need of help, please return soon and end this experiment.",phil mcginlay,woombye Qld, Australia
"Hong Kong, Hong Kong",Hi there somewhere in space! I'm a girl named Urania on Earth. And if you're reading this message on Uranus I would be so glad!,Urania,Hong Kong, Hong Kong
"Ashfield NSW, Australia","Draped in blue with wisps of white, our oasis in the dark. Shaped by eons. Bountiful; Home to life. Yet, is there more? Their own wonderments to share? We wait.",Peter Sinclair,Ashfield NSW, Australia
"jb, Malaysia","Hello the universal~
~Is anyone there????",Fantasy,jb, Malaysia
"sydney, Australia","aliens greetings from us humans. Once you receive this message, reply back so we know you are out there! That'll be awesome, meaning interesting. thankyou",naiel grain,sydney, Australia
"chennai, India",Hello Aliens.. This message is from planet Earth. Please Reply To this MESSAGE as soon as possible. I want to prove that Life Exists in outer planets.,Abhinandhan,chennai, India
"Melbourne, Australia","Hi Aliens, Wanna tell you I SUPPORT VINCY CHAN in Hong Kong!!! Her songs are GREAT!! Listen to [A Bit More], her new album, OKay??! =)  Cheers*",Harryn,Melbourne, Australia
"Braga, Portugal",Hello friends. Sent a picture of women there.,vitor Ferreira,Braga, Portugal
"GuangZhou, China","I hope the love of Andrew Liu and Jian Wang to the end of time.
And hope the extraterrestrial intelligence and human lived in friendship in the space.",andrew Liu,GuangZhou, China
"Roma, Italy","Hello Planet Gliese 581D. We have had commanders like John Koenig and scientists like Victor Bergman, and you?
Goodbye from ODC, Order of the Blunderers",dr. emanuele gabellini,Roma, Italy
"Porto, Portugal","ABCDEFGHIJKLMNOPQRSTUVWXYZ
DO YOU HAVE A CALM AND EXOTIC PLACE FOR US TO ENJOY A VACATION AWAY FROM THIS CRAZY PLANET?
CAN YOU SEND ME A BROCHURE?!",Sérgio,Porto, Portugal
"tirane, Albania",Let's see who will find each other the first. :),vili,tirane, Albania
"Sydney, Australia","Sup Aliens, have you got ET, we want him back!",Adam,Sydney, Australia
"Brisbane, Australia","Beam me up Scotty.
There's no sign of intelligent life
down here.",Peter Anthony,Brisbane, Australia
"Dimitrovgrad, Bulgaria","This short message will travel for 20 years in unknown space - WOW.
Hope there's someone to receive it.
Nickolay Shideroff from Bulgaria",Nickolay,Dimitrovgrad, Bulgaria
"Fundão, Portugal","Hi there! If you ever consider visiting Earth, be sure to first visit my blog: http://dokatano.blogspot.com! A complete guide to Earth society in portuguese! *",Caetano,Fundão, Portugal
"Augsburg, Germany",all your base are belong to us!,Fleder,Augsburg, Germany
"Torquay, Devon, United Kingdom",Hello from me and my 2 daughters...Kaya and Karina Birkett,Emma Haj,"Torquay, Devon", United Kingdom
"Wanda - Misiones, Argentina","Hi People of the other world... i can´t believe this!!... Come on to Argentina, The tango & Maradona is the best of the world... DJ ENZO CORTESI IS FANTASTIC!!",Enzo,Wanda - Misiones, Argentina
"Székesfehérvár, Hungary","Greetings from Earth, Europe, Hungary. If your way is going near here, I invite you for a glass of wine.Imi",Palkovits Imre Gergely,Székesfehérvár, Hungary
"Saint-Petersburg, Russia","Now on our planet ""the Earth"" 2009. The planet population till now did not meet obvious signs of a life of an extraterrestrial civilisation.",Grafov Sergey,Saint-Petersburg, Russia
"Mnich, Poland","Hello there,
It would be nice to get the answer from you. Yeah, that will be great.
See you soon, friends.",Klaudia Brudny,Mnich, Poland
"Paris, France",Hello from Paris (France)... you're welcome ;),François,Paris, France
"athens, Greece",hello and greeting from earth!!!! ria - elias,Ria V,athens, Greece
"Sydney, Australia","There are too many questions to ask which can't be fitted in one message - just like loving your family, friends and the one who loves you - Love from Earth :)",Patrick,Sydney, Australia
"cairns, Australia","Hello there we need  help as Our plannet is in danger,with problems as:greenhouse emitions,wars,drugs abuse,epidemics.help us befor is to late planet earth.",juan,cairns, Australia
"Hamptn, Australia",Hello... Have you seen my keys?,Dee,Hamptn, Australia
"conegliano veneto, Italy","hello new earth. i'm ermes, from conegliano veneto (italy), i love motocross , i want to meet one woman of your earth. :-)
Long life",ermes,conegliano veneto, Italy
"Perak, Malaysia","Hello, I'm Jerry from 1 of the part of the Earth. Just realized that i have a chance to send message to you all. Happy year 2009 and happy always.",Jerry Wong,Perak, Malaysia
"Sydney , Australia",Hello! is your planet the same as ours? What is it like up there?,Jasmine,Sydney , Australia
"Hong Kong, Hong Kong","Hi~I love Vincy Chan's song very much.She's a good singer from Hong Kong,i love her voice and she is  a kind person.",Kyle Lee,Hong Kong, Hong Kong
"Basel, Switzerland",Hello Aliens :) please rave with us on 07.08. 2049 at the Street Parade in Zürich. :),StreetParade,Basel, Switzerland
"Magé, Rio de Janeiro, Brazil","Greatings from Rio de Janeiro, Brazil!!!",Heraldo,"Magé, Rio de Janeiro", Brazil
"Graz, Austria","All the best messages appearently are from Australia, so I suggest you visit that place first. They invented kangaroos, AC/DC and tanks.",George,Graz, Austria
"floreat, Australia","If you come here just go to Mexico!!!! 
And ask for All Inclusive...",Ludovic Petit,floreat, Australia
"Mercato San Severino, Italy","Please, come here and teach us to make a world without war and poverty!",Alessandro,Mercato San Severino, Italy
"Kaunas, Lithuania","Hi, i realy want travel in your planet. I waiting and yours...",Dovydas,Kaunas, Lithuania
"Maia, Portugal",I wanna be happy.,Pedro,Maia, Portugal
"Split 21000, Croatia","I would like to meet you there.
Then you can tell me about 137 puzzle.",Neno,Split 21000, Croatia
"Sungai Petani, Malaysia","Hello from earth,we're living full of love and peace on Earth...visit us and share the love and peace with us on Planet Earth...cheers...",Liang,Sungai Petani, Malaysia
"Griffith, Australia","Hello from Griffith, NSW Australia. We are sending messages of peace and happiness and hope that life there is like ours.",Nick Yiasoumi,Griffith, Australia
"Sydney, Australia","If you are born on earth, you will be the luckest person ever, just like me. That's why i'm inviting you to come down to earth. please come!    (:",Sylvia,Sydney, Australia
"Groningen, Netherlands","Hey guys,

this is jörg from planet earth.We finally found a way to contact other planets outside our own solar system.So please say something to us now!!!",Jörg Reinhardt,Groningen, Netherlands
"Hong Kong, Hong Kong",Love or LIfe for you?,Kristina,Hong Kong, Hong Kong
"Sofia, Bulgaria","Hello, friends! :) Greatings from the Earth! I hope that you will come to visit us with peace!",Penka,Sofia, Bulgaria
"Cabramatta, Australia","Hello from Earth! We come in peace. I am from Cabramatta, Sydney, NSW, Australia, planet Earth. Can you send back description of your planet, people, knowledge.",Kevin Nguyen,Cabramatta, Australia
"Pristina Kosovo, Albania","Greetings from Kosova, the youngest state in the world. Please feel free to drop down for a famous Pristina ""Caffe Macchiato"" TUNG TUNG ;)",Dermaku,Pristina Kosovo, Albania
"Utrecht, Netherlands","Hello Marklars, how's Marklar? I'm doing Marklar on Marklar. Marklar to you!",Nina & Michael,Utrecht, Netherlands
"Burgas, Bulgaria","Hi, guys! My planet rocks! You rock too =) You should listen to some of my music. Stay cool & love eachother.",Kaite,Burgas, Bulgaria
"Lagos, Portugal",Mom? Dad?,Gank,Lagos, Portugal
"A town, United States","Hi aliens! Can you teach me your language? Oh, our planet is NOT called Earth, people just say so. Our planets actual name is Terra.
Come visit me sometime!",The alien,A town, United States
"Marcinkowo, Poland","Hey, you intelligent form of life. You are very welcome to come to my Birthday Party :) DS Alchemik, room 35,April, 3rd.Bring your own alcohol.See you there :D",Przemo,Marcinkowo, Poland
"brisbane, Australia","Warning: Do not come, you'll end up in District 9.",bino,brisbane, Australia
"Gabrovo, Bulgaria","Please, visit the B612 asteroid during your trip to Earth. The little Prince might feel a bit lonely lately. Thanks!",Rosena,Gabrovo, Bulgaria
"Saxon, Switzerland","Hi!
I hope you are living somewehre. In that case, I'll invite you to have a drink at home. And I'll be happy if you take a traditional drink of yours with. ER",Rivera Eric,Saxon, Switzerland
"Konotop, Ukraine","Hello from Konotop, Ukraine!",Artem,Konotop, Ukraine
"Singapore, Singapore","Have a nice day!
A message sent from planet Earth.",J,Singapore, Singapore
"skopje, Macedonia","I`m going to New york!soon, real soon! yeah",Elena,skopje, Macedonia
"Karlstad, Sweden",I just want to say hello from Wermland in Sweden. Or in Swedish: Hej!,Max Sonnelid,Karlstad, Sweden
"singapore serangoon, Singapore","Hi NI HAO MA How are you? We come in peace, hopefully your world has better advancement in technology reply me before 40 yrs is up. I'm off to redang now bye!",yeo jingxian,singapore serangoon, Singapore
"Giarre, Italy","from earth planet i say you ""hello"", and if you want to have fun and eat well, we wait you in italy ^_^",Gianluca,Giarre, Italy
"Kharkov, Ukraine","Hi!!!
Wzzzzp!!! 
Hand`s up baby!!!!",eugene,Kharkov, Ukraine
"Le Plessis Robinson, France","My Happiness: My love Kim Yen, Rock Climbing and undiscovered places.",Christophe C.,Le Plessis Robinson, France
"Chengdu, Sichuan, China","Hello from China! I'm writing emails with my foreign pen pals, hope one day I can write mails to you!",Siming,"Chengdu, Sichuan", China
"canicattì, Italy","hello,my friends!!! hello from sicily!!",peppe,canicattì, Italy
"Banglore, India",Hello........anyone out there. We earth people mean peace. Please come and visit us. We love you!!,Saurav Sachidanand,Banglore, India
"Söderhamn, Sweden",To all potential distant friends; Live long and prosper!,Rolf Elfström,Söderhamn, Sweden
"Universal City, United States","Hi, if there is anyone out there please feel free to come and visit. You know how to find me/us.",Randy,Universal City, United States
"chennai, India","HHIIIIIIII! anybody there?....
this is one of the most intellectual species /robot sending a SOS message from the planet EARTH...! HELLOO KNOCK KNOCK",shri vasan,chennai, India
"Tallinn, Estonia",Dear aliens! Me & my friend have a lot of problems on Earth & we would like you to take us from this delusional planet as soon as possible! Landing zone-Estonia,Anton  & Eugene,Tallinn, Estonia
"Aesch, Switzerland","Hello E.T and Alf! I would be glad, if we could play golf in 20 years together!",Ersin Norkaya,Aesch, Switzerland
"Brest, France",see you soon for a little drink under the sun of my beautiful city!,Eric,Brest, France
"Anzio, Italy","| . | . || . ||| . ||||| . |||||||| 
hello our potential ET friends,if you want to come here for a visit i will buy you a coffee and you'll fix my tv ok?peace!",Vi,Anzio, Italy
"Buenos Aires, Argentina","Hey you aliens! Gimme my money back. I know where you live, so don't be fool! I will wait another 20 years.",Nicolas,Buenos Aires, Argentina
"Schagen, Netherlands",Ra Harachte 23,Marnix,Schagen, Netherlands
"Montevideo, Uruguay","hello, i'm really sick of earth, so if at all possible, can you please teleport me to wherever you are. thanks.",Dennis,Montevideo, Uruguay
"Adeje, Spain","We are Camilo&Ana;,we want that our wishes become real soon!!!We have a big heart, come to visit us!!!",Ana,Adeje, Spain
"Warsaw, Poland",Hello how old are yours civilization ? please contact with use  if you egzist ;D,Adrian,Warsaw, Poland
"MONASTIR,  53 cité faouez, Tunisia",i wish that you can recieve these messages because many thing are now impossible to do but you can do it.you are our children from the next generation.go and go,Hamed amigoos,"MONASTIR,  53 cité faouez", Tunisia
"QLD, Australia","A message of peace from the Homosapien race of planet Earth from the Sol system, we welcome communication.",Joshua,QLD, Australia
"Perth, Australia",Fine but what could a pig do in a circus?  Go back and restore your honor... disguse yourself as women!  Stand up.  One two six three!  Two five seven nine!,Adam,Perth, Australia
"Bandar Menjalara  , Malaysia","Hello,whats your name?You can call me ajinomoto.I hope we can be friands.You know,I love to see japenese cartoon,Ihope I can share with you.Well then,bye~~",Ajinomoto,Bandar Menjalara  , Malaysia
"Dagupan, Philippines","I think something's wrong with out planet. We just destroyed its natural resources and emitted tons of carbon dioxode, and suddenly its attacking back. Help?",CourtneyN,Dagupan, Philippines
"Göteborg, Sweden","ring, ring, hello?",Robin,Göteborg, Sweden
"Szeged, Hungary",I can just hope that you will be able to avoid the meeting with the so called 'Earthling' concept.,toma,Szeged, Hungary
"Margate/Florida, United States",If you want to hear really good classic rock check out a band called Rush 2112,Michael Dicter,Margate/Florida, United States
"Reggio Emilia, Italy","Hi! We're writing you from Italy (EARTH). How much do you know about our planet? How is yours? If one day you'll come to visit us, you'll be the welcome!! Bye!",Ceci&Chiara;,Reggio Emilia, Italy
"Batu Pahat, Malaysia","Messages One : Can you don't hate our earth?
Message Two  : Are you very strong?
Message Three: We love our Earth.",Koh Jia Cheng,Batu Pahat, Malaysia
"Chisinau, Moldova","Hi there! If you visit our planet, let's drink a wine at Chisinau! I hope you will enjoy it:)

Alex from Chisinau, Moldova",Alexander,Chisinau, Moldova
"Quebec, Canada","Allo i am from Quebec city in Canada, i hope you will pass by are city if you come by us. See you in 20 years.",Pierre Bourassa,Quebec, Canada
"Karaganda, Kazakhstan","Hello! My name is Victor. I am living in Karaganda. I think, you very interesting friends!",Victor,Karaganda, Kazakhstan
"Vitebsk, Belarus","Please, come to rescue us!",Nikita Petrovski,Vitebsk, Belarus
"singapore serangoon, Singapore","HELLO ! my name is wen xian , do come visit me in singapore if u all could take a spaceship or something to earth ! Hope u do reply(: 
best regards ,
wenxian!",yeo wen xian,singapore serangoon, Singapore
"Skopje, Macedonia","Hello fellow citizens of space, we are all ONE we just dont know it yet..p.s. Do you have music??",Kristina,Skopje, Macedonia
"Firenze, Italy","I blow a kiss to You from Earth.
  CIAO!",Anna,Firenze, Italy
"Balmaseda, Spain",".=1 ..=2 ...=3 ....=4 .....=5 ......=6 .......=7 ........=8 .........=9  =0 ..........=10 ...........=11 ............=12 0,1,1,2,3,5,8,13,21 1,6183",Roberto,Balmaseda, Spain
"Ulyanovsk, Russia",Hi enoplanetchiki! Kak u Vas workaet Internet?,MatrixHasYou,Ulyanovsk, Russia
"Odessa, Ukraine",Hello from Odessa. We are waiting for you :),Vadim,Odessa, Ukraine
"Moscow, Russia","Dear brothers on reason!On the earth illness, constant conflicts of the countries!Can at you it will turn out to bring harmony and to reconcile all,all people!",Nik Carter,Moscow, Russia
"Moscow, Russia","Hello guys!What's up? We are your friends! Fly to us, we will be very glad to see you! Peace!",Mr. Evil,Moscow, Russia
"Moscow, Russia","3,14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955058223172535940812848111745",Alex,Moscow, Russia
"m3g@bk.ru, Russia","Greetings from Russia! Yes dreams come true, what would life was good everywhere!",RuGOST,m3g@bk.ru, Russia
"Minsk, Belarus","Earth - Our planet. 
Gliese 581D - your planet. 
Space - Our Common World. 
(O-Gliese 581D + О-Earth) ...",Georgi Tretyak,Minsk, Belarus
"Brag Pta. , Brazil","answer to life, the universe, and everything = 42",Fabio Andrijauskas,Brag Pta. , Brazil
"Castle Hill, Australia","Bring peace, love, enlightenment and a good joke and we'll all enjoy your visit to our beautiful planet. Otherwise stay away. Play elsewhere.",Lisajane,Castle Hill, Australia
"Darwin, Australia","knock, knock",Vinh Nguyen,Darwin, Australia
"Novgorod, Russia","Hello from Russia! 
Please visit us...",iLLuzor,Novgorod, Russia
"Melbourne, Australia","I dream that our best qualities;love,compassion,trust,generosity,empathy and tolerance will allow us to find a way to be companions, adventurers and friends.",Joanne Roberts,Melbourne, Australia
"São Paulo, Brazil","The Earth is beautiful, but the man is done with it! Save the nature, save the planet! God, peace and love",Caroline Marcondes,São Paulo, Brazil
"Rome, Italy",Please bring common sense that in these parts begins to run low,Giuseppe Martorana,Rome, Italy
"Rome, Italy","hi... are mattia would be a pleasure to meet you ... come on earth to visit, there are some very beautiful places ...",Mattia,Rome, Italy
"Fairfield, Australia","Gday fellow mates!I come in peace. As a gesture of good will, here is Einsteins famous equation:E=mc2
Please respond with your highly advance scientific wisdom",Anthony,Fairfield, Australia
"Skopje, Macedonia",wish i was there with you guys,Oli,Skopje, Macedonia
"Juiz de Fora, Brazil",The book is on the table!!!,Fredim,Juiz de Fora, Brazil
"Penang, Malaysia",Hey.I am very excited to be you all friends.Will you come to my planet ??? Hope I have chance to visit your planet...try your planet's food..wear your clothes..,LimSooChiew,Penang, Malaysia
"São Bernardo do Campo, Brazil",Don't kill me!!!,Daniel Vergara,São Bernardo do Campo, Brazil
"Guaynabo, Puerto Rico",Please tell Mila Elyse mommy loves her.,Karleen Martinez,Guaynabo, Puerto Rico
"Syria, Syria","Hi from Earth , from Syria exactly :)
We are here so happy, we wish you happy there too.
come to visit us here:D.",Mariah,Syria, Syria
"Perth, Australia","Come to Perth (the west coast of Australia (pronounced staylya)). Beer is in the fridge waiting mate, bring snags for the barbecue

Richo",Michael Richardson,Perth, Australia
"Barinas, Venezuela","Hi, my name is Juan and I´m the king of the planet... NTC",Juan,Barinas, Venezuela
"Budapest, Hungary","Maybe there's not too much sense in sending english messages to an other galaxy, but it's fun, so HELLO FROM EARTH, you, there! Gabriella Tooth",Gabriella Tooth,Budapest, Hungary
"Dupnica, Bulgaria","Greetings, aliens!
We really want to contact to you and we will welcome you here on our planet with peace!
Come and teach us to love each other.
Peace!",Georgi,Dupnica, Bulgaria
"Peregian Springs, Australia","I am typing a message to an unknown spicies billions of miles away.  How clever we Humans think we are.  I wish you peace that we ""clever"" Humans so yearn for.",Ian,Peregian Springs, Australia
"Paris, France",Hi every body ! It's Earth !,MELO,Paris, France
"jordan, Lebanon","soo aliens probably dont even speak english anyway.
we're all going to die.",chris,jordan, Lebanon
"Casablanca, Morocco","Hi everyone, I just want to tell you that Wydad Athletic Club is the best football team in the world !!!",Mehdi,Casablanca, Morocco
"michigan, United States","hello,i want to say to everybody i love souna so much and for ever",mimi,michigan, United States
"Santiago, Chile","one, two, three, testing XD
greetings and Jesus is God ;D",Zilphor,Santiago, Chile
"Moscow, Russia",guys! Take me out of here! =) ||+||=||||,Peter,Moscow, Russia
"Detroit, United States","Help! My ship ran out of gas & I'm stranded on earth. The food sucks here, liquid falls from the sky, and no sun for days. Come get me!!!",Alien Fetus,Detroit, United States
"Lisbon, Portugal",I Hope That In Your Planet There's No Humans,Helder Martins,Lisbon, Portugal
"CLINTON, United States",What's up?!If anyone exists out there I hope you are a kind and gentle world and know that most of us are great people..stay away from the politicians though!,LISA RAYNOR,CLINTON, United States
"varaždin, Croatia",dear greenies. welcome to our chatotic planet named Earth (although it's mostly water). hope u gonna love it. peace out,marko grozdek,varaždin, Croatia
"MADRID, Spain","HELLO I'M FROM MADRID,SPAIN, EARTH,I´D LIKE TO GO THERE AND SEE THINGS BUT OUR TECNOLOGY IS NOT GOOD RIGHTNOW
I HOPE YOU FEEL ALL RIGHT.SEE YOU!SERGIO LLORENS",SERGIO,MADRID, Spain
"Lisbon, Portugal","Hi guys!!! Benfica is the biggest club in this world!!! When you arrive come to Lisbon and try our ""pastel de nata"".",António,Lisbon, Portugal
"Zagreb, Croatia","Come to us from another Sun and stars above our heads so we can finally smile together in the same language and in peace, beneath the feet of our Creator. :)",Maja Kosor,Zagreb, Croatia
"Biysk, Russia",Vam Pizdec!!!! I see you!,Asser,Biysk, Russia
"São Paulo - SP, Brazil","hi, I would like to receive a magazine...",Carolina Pereira,São Paulo - SP, Brazil
"Novosibirsk, Russia","3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706798214808651328230664709384460955
Make peace...",Alexey,Novosibirsk, Russia
"Chernihiv, Ukraine","I know you are there. Are ypu material? Hope you are, because my wife is a good photographer. Come and be our guest-models. We'll pay you 100$ per hour!",Vladislav Lishafay,Chernihiv, Ukraine
"Moscow, Russia","I love AnutaDacheva
If it's God in our life-he must help her in her life makingher life easier and happier
I love my Mam,Dad,brotherHappyness to all of them!",Vladimir Zherebtsov,Moscow, Russia
"Sterling, United States","Greetings from Earth. Our highest values are love, peace, justice and liberty. We are not very good at any of them.",Michael White,Sterling, United States
"Moscow, Russia",Elvis come back home! ;),Vladimir,Moscow, Russia
"belgrade, Serbia",Do not come on earth we are ok and without you.Keep away from our planet.,Asterix,belgrade, Serbia
"Sligo, Ireland","Hi, despite the rest of the messages you receive from earth id like to assure you there is intelligent life here, it is just difficult to find at times.",David,Sligo, Ireland
